year,month,location,wholesale_price,retail_price
2018,6,Badulla,,
2018,6,Meegoda,,
2018,6,Nikaweratiya,,
2018,6,Nuwara Eliya,,
2018,6,Galle,,
2018,6,Bandarawela,,
2018,6,Dabulla,,
2018,6,Mullathivu,,
2018,6,Polonnaruwa,,
2018,6,Jaffna,,
2018,6,Veyangoda,,
2018,6,Colombo,,
2018,6,Hanguranketha,,
2018,6,Mannar,,
2018,6,Kurunegala,,
2018,6,Matale,,
2018,6,Ampara,,
2018,6,Hambanthota,,
2018,6,Kilinochchi,,
2018,6,Batticaloa,,
2018,6,Dehiattakandiya,,
2018,6,Trinco,,
2018,7,Galenbidunuwewa,,
2018,7,Keppetipola,,
2018,7,Puttalam,,
2018,7,Thabuththegama,,
2018,7,Embilipitiya,,
2018,7,Kandy,,
2018,7,Kaluthara,,
2018,7,Matara,,
2018,7,Vavuniya,,
2018,7,Anuradapuraya,,
2018,7,Gampaha,,
2018,7,Thissamaharama,,
2018,7,Rathnapura,,
2018,7,Kegalle,,
2018,7,Monaragala,,
2018,7,Badulla,,
2018,7,Meegoda,,
2018,7,Nikaweratiya,,
2018,7,Nuwara Eliya,,
2018,7,Galle,,
2018,7,Bandarawela,,
2018,7,Dabulla,,
2018,7,Mullathivu,,
2018,7,Polonnaruwa,,
2018,7,Jaffna,,
2018,7,Veyangoda,,
2018,7,Colombo,,
2018,7,Hanguranketha,,
2018,7,Mannar,,
2018,7,Kurunegala,,
2018,7,Matale,,
2018,7,Ampara,,
2018,7,Hambanthota,,
2018,7,Kilinochchi,,
2018,7,Batticaloa,,
2018,7,Dehiattakandiya,,
2018,7,Trinco,,
2018,8,Galenbidunuwewa,,
2018,8,Keppetipola,,
2018,8,Puttalam,,
2018,8,Thabuththegama,,
2018,8,Embilipitiya,,
2018,8,Kandy,,
2018,8,Kaluthara,,
2018,8,Matara,,
2018,8,Vavuniya,,
2018,8,Anuradapuraya,,
2018,8,Gampaha,,
2018,8,Thissamaharama,,
2018,8,Rathnapura,,
2018,8,Kegalle,,
2018,8,Monaragala,,
2018,8,Badulla,,
2018,8,Meegoda,,
2018,8,Nikaweratiya,,
2018,8,Nuwara Eliya,,
2018,8,Galle,,
