year,month,location,wholesale_price,retail_price
2017,9,Polonnaruwa,,69.00
2017,9,Galenbidunuwewa,,
2017,9,Kilinochchi,,
2017,9,Kegalle,,81.50
2017,9,Nuwara Eliya,35.50,69.00
2017,9,Rathnapura,50.00,62.00
2017,9,Mullathivu,,
2017,9,Jaffna,,
2017,9,Puttalam,32.35,91.00
2017,9,Gampaha,,87.00
2017,9,Kaluthara,,78.39
2017,9,Batticaloa,,52.00
2017,9,Meegoda,46.00,92.00
2017,9,Badulla,48.25,104.00
2017,9,Hambanthota,37.50,51.00
2017,9,Monaragala,56.67,95.00
2017,9,Colombo,41.67,105.05
2017,9,Veyangoda,,
2017,9,Anuradapuraya,,77.33
2017,10,Keppetipola,,81.60
2017,10,Kurunegala,,102.00
2017,10,Ampara,,78.40
2017,10,Matale,,
2017,10,Vavuniya,68.63,95.33
2017,10,Mannar,,63.33
2017,10,Trinco,,
2017,10,Matara,45.67,73.00
2017,10,Bandarawela,,
2017,10,Dehiattakandiya,,
2017,10,Nikaweratiya,,
2017,10,Embilipitiya,,79.00
2017,10,Dabulla,30.18,70.20
2017,10,Hanguranketha,60.15,83.80
2017,10,Galle,,104.00
2017,10,Thabuththegama,29.48,62.00
2017,10,Thissamaharama,37.40,58.00
2017,10,Kandy,40.12,88.00
2017,10,Polonnaruwa,,75.20
2017,10,Galenbidunuwewa,,
2017,10,Kilinochchi,,
2017,10,Kegalle,,86.00
2017,10,Nuwara Eliya,42.00,77.20
2017,10,Rathnapura,56.80,71.60
2017,10,Mullathivu,,
2017,10,Jaffna,,
2017,10,Puttalam,31.40,106.40
2017,10,Gampaha,,87.20
2017,10,Kaluthara,,95.20
2017,10,Batticaloa,,53.00
2017,10,Meegoda,40.80,106.40
2017,10,Badulla,60.50,100.00
2017,10,Hambanthota,45.00,62.60
2017,10,Monaragala,51.08,94.67
2017,10,Colombo,40.08,108.19
2017,10,Veyangoda,,
2017,10,Anuradapuraya,,85.00
2017,11,Keppetipola,,83.00
2017,11,Kurunegala,,114.75
2017,11,Ampara,,95.21
2017,11,Matale,,
2017,11,Vavuniya,43.04,95.83
2017,11,Mannar,,
2017,11,Trinco,,
2017,11,Matara,53.33,81.67
2017,11,Bandarawela,,
2017,11,Dehiattakandiya,,
2017,11,Nikaweratiya,,65.42
2017,11,Embilipitiya,,76.43
2017,11,Dabulla,37.98,72.00
2017,11,Hanguranketha,69.25,80.44
2017,11,Galle,,102.50
2017,11,Thabuththegama,31.60,54.06
2017,11,Thissamaharama,40.67,57.00
2017,11,Kandy,46.25,88.00
2017,11,Polonnaruwa,,67.50
2017,11,Galenbidunuwewa,,
2017,11,Kilinochchi,,
2017,11,Kegalle,,84.00
2017,11,Nuwara Eliya,53.00,89.50
2017,11,Rathnapura,52.00,63.50
2017,11,Mullathivu,,
2017,11,Jaffna,,
2017,11,Puttalam,30.75,92.00
2017,11,Gampaha,,97.00
2017,11,Kaluthara,,80.00
2017,11,Batticaloa,,48.33
2017,11,Meegoda,45.50,101.00
2017,11,Badulla,53.50,102.00
2017,11,Hambanthota,39.75,55.00
2017,11,Monaragala,65.42,101.67
2017,11,Colombo,37.71,111.84
2017,11,Veyangoda,,
2017,11,Anuradapuraya,,76.00
2017,12,Keppetipola,,92.00
2017,12,Kurunegala,,90.00
2017,12,Ampara,,110.00
2017,12,Matale,,
2017,12,Vavuniya,51.67,102.00
2017,12,Mannar,,
2017,12,Trinco,,
2017,12,Matara,76.67,116.67
2017,12,Bandarawela,,
2017,12,Dehiattakandiya,,
2017,12,Nikaweratiya,,76.00
2017,12,Embilipitiya,,126.19
2017,12,Dabulla,46.00,84.50
2017,12,Hanguranketha,84.69,107.69
2017,12,Galle,,113.13
2017,12,Thabuththegama,39.85,65.94
2017,12,Thissamaharama,44.00,70.50
2017,12,Kandy,54.25,89.00
2017,12,Polonnaruwa,,81.75
2017,12,Galenbidunuwewa,,
2017,12,Kilinochchi,,
2017,12,Kegalle,,88.00
